Rk,Player,Tm,Age,Pos,G,GS,Receiving Tgt,Receiving Rec,Receiving Yds,Receiving Y/R,Receiving TD,Receiving 1D,Receiving Lng,Receiving R/G,Receiving Y/G,Receiving Ctch%,Receiving Y/Tgt,Rushing Att,Rushing Yds,Rushing TD,Rushing 1D,Rushing Lng,Rushing Y/A,Rushing Y/G,Rushing A/G,Total Tch,Y/Tch,Total Yds,RRTD,Fmb,key
158,Deon Jackson,IND,23,RB,16,2,34,30,209,7,1,10,27,1.9,13.1,88.20%,6.1,68,236,1,13,17,3.5,14.8,4.3,98,4.5,445,2,1,JackDe02
159,Austin Hooper,TEN,28,TE,17,2,60,41,444,10.8,2,28,24,2.4,26.1,68.30%,7.4,,,0,0,,,,,41,10.8,444,2,,HoopAu00
160,Marcus Mariota,ATL,29,QB,13,13,,,,,0,0,,,,,,85,438,4,30,30,5.2,33.7,6.5,85,5.2,438,4,8,MariMa01
161,Romeo Doubs,GNB,22,WR,13,7,67,42,425,10.1,3,20,26,3.2,32.7,62.70%,6.3,1,11,0,1,11,11,0.8,0.1,43,10.1,436,3,2,DoubRo00
162,Gus Edwards,BAL,27,RB,9,4,2,0,0,,0,0,0,0,0,0.00%,0,87,433,3,30,37,5,48.1,9.7,87,5,433,3,1,EdwaGu00
163,Russell Gage,TAM,26,WR,13,4,70,51,426,8.4,5,31,23,3.9,32.8,72.90%,6.1,,,0,0,,,,,51,8.4,426,5,1,GageRu00
164,Michael Gallup,DAL,26,WR,14,11,74,39,424,10.9,4,25,27,2.8,30.3,52.70%,5.7,,,0,0,,,,,39,10.9,424,4,,GallMi00
165,Foster Moreau,LVR,25,TE,15,14,54,33,420,12.7,2,24,33,2.2,28,61.10%,7.8,0,2,0,0,,,0.1,0,33,12.8,422,2,1,MoreFo00
166,Kyler Murray,ARI,25,QB,11,11,,,,,0,0,,,,,,67,418,3,23,42,6.2,38,6.1,67,6.2,418,3,8,MurrKy00
167,Randall Cobb,GNB,32,WR,13,3,50,34,417,12.3,1,19,40,2.6,32.1,68.00%,8.3,,,0,0,,,,,34,12.3,417,1,1,CobbRa00
